CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L15143MH1987PLC042533,PRIME SOLVENT EXTRACTIONS LIMITED,Active,Public,Company limited by Shares,Non-govt company,12-02-87,Maharashtra,70000000,64600000,15143,Manufacture of food products and beverages,"CAPCO EXPPORTS JEEVAN SAHAKAR BUILDING 3RD FLR 5 HOMJI STREE, FORT    MUMBAI , Mumbai City Unclassified MH 400001",RoC-Mumbai,psel@vsnl.com,31-03-11,31-03-11
L15143MH1992PLC066662,RASOYA PROTEINS LIMITED,Active,Public,Company limited by Shares,Non-govt company,06-05-92,Maharashtra,1810000000,1708931700,15143,Manufacture of food products and beverages,"VILLAGE WANJARI, TALUKA WANI YAVATMAL    YAVATMAL ,   Unclassified MH 445004",RoC-Mumbai,anilgoel@aaainsolvency.com,31-03-16,31-03-16
L15143PN1992PLC069754,SAPTASHRINGI SOLVENT EXTRACTIONS LTD,Active,Public,Company limited by Shares,Non-govt company,27-11-92,Maharashtra,52500000,45251000,15143,Manufacture of food products and beverages,"15/A WAKADEWADIPUNE MUMBAI ROAD      PUNE , Pune Unclassified MH 411003",RoC-Pune,deo.shripad50@gmail.com,31-03-18,31-03-18
L15200MH1996PLC102332,ADITI BIO-TECH LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,03-09-96,Maharashtra,1000000,800000,15200,Manufacture of food products and beverages,"14 RADHA APARTMENT, 4TH FLOOR TELI LANE, ANDHERI (EAST),    MUMBAI ,   Unclassified MH 400069",RoC-Mumbai,NA,NA,NA
L15200MH1997PLC107525,VADILAL DAIRY INTERNATIONAL LIMITED,Active,Public,Company limited by Shares,Non-govt company,20-07-87,Maharashtra,150000000,31941500,15200,Manufacture of food products and beverages," PLOT NO. M-13,MIDC INDUSTRIAL AREA, TARAPUR,BOISAR,    BOISAR ,   Unclassified MH 401506",RoC-Mumbai,Vadilaldairy1987@gmail.com,31-03-20,31-03-20
L15200MH1999PLC117958,NETVISTA VENTURE LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-01-99,Maharashtra,150000000,135953000,15200,Manufacture of food products and beverages,"409, SHIV SHAKTI APTM, NR ACHOLE ROAD, NALLASOPARA (E), THANE    MUMBAI , Mumbai City Unclassified MH 401209",RoC-Mumbai,netvistaltd@gmail.com,31-03-18,31-03-19
L15201PN1993PLC074424,SWOJAS ENERGY FOODS LTD,Active,Public,Company limited by Shares,Non-govt company,11-10-93,Maharashtra,310000000,309626500,15201,Manufacture of food products and beverages,"77, Vijay Nagar Colony 2147, Sadashiv Peth    Pune , Pune Unclassified MH 411030",RoC-Pune,swojasenergyfoodsltd@gmail.com,31-03-20,31-03-20
L15203PN1938PLC002879,POLSON LTD,Active,Public,Company limited by Shares,Non-govt company,21-12-38,Maharashtra,25000000,6000000,15203,Manufacture of food products and beverages,"AMBAGHATTALLLUKA SHAHUWADI      KOLHAPUR ,   Unclassified MH 415101",RoC-Pune,compliance@polsonltd.com,31-03-20,31-03-20
L15204PN1992PLC070209,PARAG MILK FOODS LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-12-92,Maharashtra,1000000000,841145820,15204,Manufacture of food products and beverages,"Flat No.1,Plot No.19,Nav Rajasthan Soc., behind Ratna Memorial Hospital,S.B. Road, Shivaji Nagar    Pune ,   Unclassified MH 411016",RoC-Pune,cs@paragmilkfoods.com,31-03-20,31-03-20
L15209MH1995PLC094262,HASWANI AGRO PRODUCTS LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,08-11-95,Maharashtra,5000000,60000,15209,Manufacture of food products and beverages,"C S NO 2118/14OPP KELKAR MARKET NAVI PETH      JALGAON ,   Unclassified MH 425001",RoC-Mumbai,NA,NA,NA
